iter	Passed	Remaining
954	40341	1900
955	40365	1857
956	40389	1814
957	40449	1773
958	40472	1730
959	40499	1687
960	40524	1644
961	40555	1601
962	40601	1559
963	40663	1518
964	40686	1475
965	40712	1432
966	40756	1390
967	40785	1348
968	40812	1305
969	40835	1262
970	40897	1221
971	40933	1179
972	40965	1136
973	40995	1094
974	41030	1052
975	41053	1009
976	41115	967
977	41172	926
978	41232	884
979	41258	842
980	41318	800
981	41378	758
982	41403	716
983	41432	673
984	41491	631
985	41547	589
986	41572	547
987	41600	505
988	41628	463
989	41686	421
990	41745	379
991	41775	336
992	41804	294
993	41866	252
994	41894	210
995	41918	168
996	41979	126
997	42038	84
998	42095	42
999	42124	0
